file_name,timestamp,period,mm_5min,mm_hr,category,recorder,location,extension,year,month,day,hour,minute,second,wet
SMM00894_20230324_025000_0-6_moderate_night.wav,2023-03-24 02:50:00,overnight,0.6,7.2,moderate,SMM00894,IDSM,.wav,2023,3,24,2,50,0,
SMM00894_20230512_041500_0-0_no-rain_night.wav,2023-05-12 04:15:00,overnight,0.0,0.0,no-rain,SMM00894,IDSM,.wav,2023,5,12,4,15,0,
SMM00894_20230408_132000_2-4_heavy_afternoon.wav,2023-04-08 13:20:00,afternoon,2.4,28.8,heavy,SMM00894,IDSM,.wav,2023,4,8,13,20,0,
SMM00894_20230325_024000_0-0_no-rain_night.wav,2023-03-25 02:40:00,overnight,0.0,0.0,no-rain,SMM00894,IDSM,.wav,2023,3,25,2,40,0,
SMM00894_20230310_155500_3-0_heavy_afternoon.wav,2023-03-10 15:55:00,afternoon,3.0,36.0,heavy,SMM00894,IDSM,.wav,2023,3,10,15,55,0,
SMM00894_20230322_023500_0-0_no-rain_night.wav,2023-03-22 02:35:00,overnight,0.0,0.0,no-rain,SMM00894,IDSM,.wav,2023,3,22,2,35,0,
SMM00894_20230508_111000_0-6_moderate_morning.wav,2023-05-08 11:10:00,morning,0.6,7.2,moderate,SMM00894,IDSM,.wav,2023,5,8,11,10,0,
SMM00894_20230515_232500_0-2_light_night.wav,2023-05-15 23:25:00,night,0.2,2.4,light,SMM00894,IDSM,.wav,2023,5,15,23,25,0,
SMM00894_20230227_035000_0-4_moderate_night.wav,2023-02-27 03:50:00,overnight,0.4,4.8,moderate,SMM00894,IDSM,.wav,2023,2,27,3,50,0,
SMM00894_20230323_004000_0-0_no-rain_night.wav,2023-03-23 00:40:00,overnight,0.0,0.0,no-rain,SMM00894,IDSM,.wav,2023,3,23,0,40,0,
SMM00894_20230404_131000_0-2_light_afternoon.wav,2023-04-04 13:10:00,afternoon,0.2,2.4,light,SMM00894,IDSM,.wav,2023,4,4,13,10,0,
SMM00894_20230424_094000_0-0_no-rain_morning.wav,2023-04-24 09:40:00,morning,0.0,0.0,no-rain,SMM00894,IDSM,.wav,2023,4,24,9,40,0,
SMM00894_20230502_150000_0-0_no-rain_afternoon.wav,2023-05-02 15:00:00,afternoon,0.0,0.0,no-rain,SMM00894,IDSM,.wav,2023,5,2,15,0,0,
SMM00894_20230510_225500_6-2_violent_night.wav,2023-05-10 22:55:00,night,6.2,74.4,violent,SMM00894,IDSM,.wav,2023,5,10,22,55,0,
SMM00894_20230506_144500_0-0_no-rain_afternoon.wav,2023-05-06 14:45:00,afternoon,0.0,0.0,no-rain,SMM00894,IDSM,.wav,2023,5,6,14,45,0,
SMM00894_20230324_180500_0-0_no-rain_night.wav,2023-03-24 18:05:00,night,0.0,0.0,no-rain,SMM00894,IDSM,.wav,2023,3,24,18,5,0,
SMM00894_20230220_133000_0-8_moderate_afternoon.wav,2023-02-20 13:30:00,afternoon,0.8,9.6,moderate,SMM00894,IDSM,.wav,2023,2,20,13,30,0,
SMM00894_20230324_185000_0-0_no-rain_night.wav,2023-03-24 18:50:00,night,0.0,0.0,no-rain,SMM00894,IDSM,.wav,2023,3,24,18,50,0,
SMM00894_20230302_180500_0-0_no-rain_night.wav,2023-03-02 18:05:00,night,0.0,0.0,no-rain,SMM00894,IDSM,.wav,2023,3,2,18,5,0,
SMM00894_20230320_114500_0-0_no-rain_morning.wav,2023-03-20 11:45:00,morning,0.0,0.0,no-rain,SMM00894,IDSM,.wav,2023,3,20,11,45,0,
SMM00894_20230414_153000_0-0_no-rain_afternoon.wav,2023-04-14 15:30:00,afternoon,0.0,0.0,no-rain,SMM00894,IDSM,.wav,2023,4,14,15,30,0,
SMM00894_20230417_015500_0-2_light_night.wav,2023-04-17 01:55:00,overnight,0.2,2.4,light,SMM00894,IDSM,.wav,2023,4,17,1,55,0,
SMM00894_20230420_040500_0-0_no-rain_night.wav,2023-04-20 04:05:00,overnight,0.0,0.0,no-rain,SMM00894,IDSM,.wav,2023,4,20,4,5,0,
SMM00894_20230301_184500_0-0_no-rain_night.wav,2023-03-01 18:45:00,night,0.0,0.0,no-rain,SMM00894,IDSM,.wav,2023,3,1,18,45,0,
SMM00894_20230416_230500_0-6_moderate_night.wav,2023-04-16 23:05:00,night,0.6,7.2,moderate,SMM00894,IDSM,.wav,2023,4,16,23,5,0,
SMM00894_20230216_233000_0-2_light_night.wav,2023-02-16 23:30:00,night,0.2,2.4,light,SMM00894,IDSM,.wav,2023,2,16,23,30,0,
SMM00894_20230226_063500_0-2_light_morning.wav,2023-02-26 06:35:00,morning,0.2,2.4,light,SMM00894,IDSM,.wav,2023,2,26,6,35,0,
SMM00894_20230416_230000_0-4_moderate_night.wav,2023-04-16 23:00:00,night,0.4,4.8,moderate,SMM00894,IDSM,.wav,2023,4,16,23,0,0,
