file_name,timestamp,period,mm_5min,mm_hr,category,recorder,location,extension,year,month,day,hour,minute,second,wet
SMM00894_20230215_134000_3-2_heavy_afternoon.wav,2023-02-15 13:40:00,afternoon,3.2,38.4,heavy,SMM00894,IDSM,.wav,2023,2,15,13,40,0,
SMM00894_20230215_134500_2-6_heavy_afternoon.wav,2023-02-15 13:45:00,afternoon,2.6,31.2,heavy,SMM00894,IDSM,.wav,2023,2,15,13,45,0,
SMM00894_20230215_135000_1-8_heavy_afternoon.wav,2023-02-15 13:50:00,afternoon,1.8,21.6,heavy,SMM00894,IDSM,.wav,2023,2,15,13,50,0,
SMM00894_20230215_135500_2-6_heavy_afternoon.wav,2023-02-15 13:55:00,afternoon,2.6,31.2,heavy,SMM00894,IDSM,.wav,2023,2,15,13,55,0,
SMM00894_20230215_140000_2-2_heavy_afternoon.wav,2023-02-15 14:00:00,afternoon,2.2,26.4,heavy,SMM00894,IDSM,.wav,2023,2,15,14,0,0,
SMM00894_20230215_140500_1-8_heavy_afternoon.wav,2023-02-15 14:05:00,afternoon,1.8,21.6,heavy,SMM00894,IDSM,.wav,2023,2,15,14,5,0,
SMM00894_20230215_141000_1-2_heavy_afternoon.wav,2023-02-15 14:10:00,afternoon,1.2,14.4,heavy,SMM00894,IDSM,.wav,2023,2,15,14,10,0,
SMM00894_20230218_140000_1-4_heavy_afternoon.wav,2023-02-18 14:00:00,afternoon,1.4,16.8,heavy,SMM00894,IDSM,.wav,2023,2,18,14,0,0,
SMM00894_20230219_165000_2-4_heavy_afternoon.wav,2023-02-19 16:50:00,afternoon,2.4,28.8,heavy,SMM00894,IDSM,.wav,2023,2,19,16,50,0,
SMM00894_20230219_165500_1-8_heavy_afternoon.wav,2023-02-19 16:55:00,afternoon,1.8,21.6,heavy,SMM00894,IDSM,.wav,2023,2,19,16,55,0,
SMM00894_20230219_170000_1-6_heavy_afternoon.wav,2023-02-19 17:00:00,afternoon,1.6,19.2,heavy,SMM00894,IDSM,.wav,2023,2,19,17,0,0,
SMM00894_20230219_170500_3-0_heavy_afternoon.wav,2023-02-19 17:05:00,afternoon,3.0,36.0,heavy,SMM00894,IDSM,.wav,2023,2,19,17,5,0,
SMM00894_20230219_172500_3-8_heavy_afternoon.wav,2023-02-19 17:25:00,afternoon,3.8,45.6,heavy,SMM00894,IDSM,.wav,2023,2,19,17,25,0,
SMM00894_20230219_173000_3-4_heavy_afternoon.wav,2023-02-19 17:30:00,afternoon,3.4,40.8,heavy,SMM00894,IDSM,.wav,2023,2,19,17,30,0,
SMM00894_20230219_175000_2-6_heavy_afternoon.wav,2023-02-19 17:50:00,afternoon,2.6,31.2,heavy,SMM00894,IDSM,.wav,2023,2,19,17,50,0,
SMM00894_20230219_185000_1-4_heavy_night.wav,2023-02-19 18:50:00,night,1.4,16.8,heavy,SMM00894,IDSM,.wav,2023,2,19,18,50,0,
SMM00894_20230220_094000_1-0_heavy_morning.wav,2023-02-20 09:40:00,morning,1.0,12.0,heavy,SMM00894,IDSM,.wav,2023,2,20,9,40,0,
SMM00894_20230220_095000_1-0_heavy_morning.wav,2023-02-20 09:50:00,morning,1.0,12.0,heavy,SMM00894,IDSM,.wav,2023,2,20,9,50,0,
SMM00894_20230220_095500_2-2_heavy_morning.wav,2023-02-20 09:55:00,morning,2.2,26.4,heavy,SMM00894,IDSM,.wav,2023,2,20,9,55,0,
SMM00894_20230220_100000_2-8_heavy_morning.wav,2023-02-20 10:00:00,morning,2.8,33.6,heavy,SMM00894,IDSM,.wav,2023,2,20,10,0,0,
SMM00894_20230220_100500_2-6_heavy_morning.wav,2023-02-20 10:05:00,morning,2.6,31.2,heavy,SMM00894,IDSM,.wav,2023,2,20,10,5,0,
SMM00894_20230220_101000_1-4_heavy_morning.wav,2023-02-20 10:10:00,morning,1.4,16.8,heavy,SMM00894,IDSM,.wav,2023,2,20,10,10,0,
SMM00894_20230220_135000_1-0_heavy_afternoon.wav,2023-02-20 13:50:00,afternoon,1.0,12.0,heavy,SMM00894,IDSM,.wav,2023,2,20,13,50,0,
