file_name,timestamp,period,mm_5min,mm_hr,category,recorder,location,extension,year,month,day,hour,minute,second,wet
SMM08565UECE_20250501_122500_0-0_no-rain.wav,2025-05-01 12:25:00,afternoon,0.0,0.0,no-rain,SMM08565,UECE,.wav,2025,5,1,12,25,0,
SMM08565UECE_20250403_203500_0-0_no-rain.wav,2025-04-03 20:35:00,night,0.0,0.0,no-rain,SMM08565,UECE,.wav,2025,4,3,20,35,0,
SMM08565UECE_20250428_045000_3-4_heavy.wav,2025-04-28 04:50:00,overnight,3.4,40.8,heavy,SMM08565,UECE,.wav,2025,4,28,4,50,0,
SMM08565UECE_20250522_234500_0-0_no-rain.wav,2025-05-22 23:45:00,night,0.0,0.0,no-rain,SMM08565,UECE,.wav,2025,5,22,23,45,0,
SMM08565UECE_20250724_070000_0-0_no-rain.wav,2025-07-24 07:00:00,morning,0.0,0.0,no-rain,SMM08565,UECE,.wav,2025,7,24,7,0,0,
SMM08565UECE_20250510_033000_0-4_moderate.wav,2025-05-10 03:30:00,overnight,0.4,4.8,moderate,SMM08565,UECE,.wav,2025,5,10,3,30,0,
SMM08565UECE_20250615_202000_0-0_no-rain.wav,2025-06-15 20:20:00,night,0.0,0.0,no-rain,SMM08565,UECE,.wav,2025,6,15,20,20,0,
SMM08565UECE_20250327_133500_0-0_no-rain.wav,2025-03-27 13:35:00,afternoon,0.0,0.0,no-rain,SMM08565,UECE,.wav,2025,3,27,13,35,0,FALSE
SMM08565UECE_20250612_064000_2-2_heavy.wav,2025-06-12 06:40:00,morning,2.2,26.4,heavy,SMM08565,UECE,.wav,2025,6,12,6,40,0,
SMM08565UECE_20250711_142000_0-0_no-rain.wav,2025-07-11 14:20:00,afternoon,0.0,0.0,no-rain,SMM08565,UECE,.wav,2025,7,11,14,20,0,
SMM08565UECE_20250702_064500_0-2_light.wav,2025-07-02 06:45:00,morning,0.2,2.4,light,SMM08565,UECE,.wav,2025,7,2,6,45,0,
SMM08565UECE_20250714_000500_0-0_no-rain.wav,2025-07-14 00:05:00,overnight,0.0,0.0,no-rain,SMM08565,UECE,.wav,2025,7,14,0,5,0,
SMM08565UECE_20250403_075000_0-0_no-rain.wav,2025-04-03 07:50:00,morning,0.0,0.0,no-rain,SMM08565,UECE,.wav,2025,4,3,7,50,0,
SMM08565UECE_20250406_211500_7-2_violent.wav,2025-04-06 21:15:00,night,7.2,86.4,violent,SMM08565,UECE,.wav,2025,4,6,21,15,0,
SMM08565UECE_20250304_075000_0-2_light.wav,2025-03-04 07:50:00,morning,0.2,2.4,light,SMM08565,UECE,.wav,2025,3,4,7,50,0,
SMM08565UECE_20250406_000500_0-0_no-rain.wav,2025-04-06 00:05:00,overnight,0.0,0.0,no-rain,SMM08565,UECE,.wav,2025,4,6,0,5,0,
SMM08565UECE_20250720_005500_0-0_no-rain.wav,2025-07-20 00:55:00,overnight,0.0,0.0,no-rain,SMM08565,UECE,.wav,2025,7,20,0,55,0,
SMM08565UECE_20250404_143500_0-0_no-rain.wav,2025-04-04 14:35:00,afternoon,0.0,0.0,no-rain,SMM08565,UECE,.wav,2025,4,4,14,35,0,
SMM08565UECE_20250721_121500_0-0_no-rain.wav,2025-07-21 12:15:00,afternoon,0.0,0.0,no-rain,SMM08565,UECE,.wav,2025,7,21,12,15,0,
SMM08565UECE_20250705_025500_0-0_no-rain.wav,2025-07-05 02:55:00,overnight,0.0,0.0,no-rain,SMM08565,UECE,.wav,2025,7,5,2,55,0,
SMM08565UECE_20250401_012500_0-0_no-rain.wav,2025-04-01 01:25:00,overnight,0.0,0.0,no-rain,SMM08565,UECE,.wav,2025,4,1,1,25,0,
SMM08565UECE_20250702_032500_0-2_light.wav,2025-07-02 03:25:00,overnight,0.2,2.4,light,SMM08565,UECE,.wav,2025,7,2,3,25,0,
SMM08565UECE_20250626_185000_0-0_no-rain.wav,2025-06-26 18:50:00,night,0.0,0.0,no-rain,SMM08565,UECE,.wav,2025,6,26,18,50,0,
SMM08565UECE_20250518_003000_0-0_no-rain.wav,2025-05-18 00:30:00,overnight,0.0,0.0,no-rain,SMM08565,UECE,.wav,2025,5,18,0,30,0,
SMM08565UECE_20250515_192500_0-4_moderate.wav,2025-05-15 19:25:00,night,0.4,4.8,moderate,SMM08565,UECE,.wav,2025,5,15,19,25,0,
SMM08565UECE_20250428_172500_0-0_no-rain.wav,2025-04-28 17:25:00,afternoon,0.0,0.0,no-rain,SMM08565,UECE,.wav,2025,4,28,17,25,0,
